Time,Vultures,Jackals,Hyenas,Lions,Carrion 2,Log10Carrion2,JackalRemovalRate2,HyenaRemovalRate2,LionRemovalRate2,DecayRate2
214.65,0.086020749,0.535264276,0.19488085,0.050849662,1.54055688,0.187677738,1.10986441,0.833555922,0.209880617,0.107838982
217.3,0.085972721,0.53579142,0.194935286,0.050849941,1.537586428,0.186839537,1.110235727,0.833624853,0.209610537,0.10763105
219.95,0.08592472,0.536299816,0.194989633,0.050850143,1.534714122,0.186027489,1.110588908,0.833698184,0.209348768,0.107429989
222.6,0.085876746,0.536790075,0.195043891,0.05085027,1.531936206,0.185240681,1.110924604,0.833775768,0.209095011,0.107235534
225.25,0.085828799,0.537262789,0.195098062,0.050850326,1.529249077,0.184478227,1.111243444,0.833857462,0.20884898,0.107047435
227.9,0.085780879,0.537718535,0.195152146,0.050850312,1.526649276,0.183739276,1.111546034,0.833943124,0.208610395,0.106865449
230.55,0.085732985,0.53815787,0.195206145,0.05085023,1.524133481,0.183023003,1.11183296,0.834032619,0.208378989,0.106689344
233.2,0.085685118,0.538581338,0.19526006,0.050850085,1.521698504,0.182328614,1.112104784,0.834125816,0.208154504,0.106518895
235.85,0.085637278,0.538989463,0.195313891,0.050849877,1.519341283,0.181655338,1.112362053,0.834222586,0.207936691,0.10635389
238.5,0.085589464,0.539382756,0.19536764,0.050849608,1.517058877,0.181002436,1.112605292,0.834322805,0.20772531,0.106194121
241.15,0.085541677,0.539761712,0.195421307,0.050849282,1.514848462,0.18036919,1.112835007,0.834426351,0.20752013,0.106039392
243.8,0.085493917,0.54012681,0.195474893,0.0508489,1.512707325,0.17975491,1.113051687,0.834533108,0.207320928,0.105889513
246.45,0.085446183,0.540478516,0.195528399,0.050848463,1.510632859,0.179158927,1.113255804,0.834642963,0.207127489,0.1057443
249.1,0.085398476,0.54081728,0.195581826,0.050847975,1.508622561,0.178580598,1.113447813,0.834755804,0.206939605,0.105603579
251.75,0.085350796,0.541143539,0.195635175,0.050847436,1.506674024,0.178019301,1.113628152,0.834871526,0.206757078,0.105467182
254.4,0.085303143,0.541457714,0.195688445,0.050846849,1.504784936,0.177474435,1.113797245,0.834990024,0.206579715,0.105334946
257.05,0.085255516,0.541760218,0.195741639,0.050846215,1.502953076,0.176945421,1.1139555,0.835111198,0.206407329,0.105206715
259.7,0.085207915,0.542051444,0.195794757,0.050845535,1.501176306,0.176431701,1.11410331,0.83523495,0.206239743,0.105082341
262.35,0.085160341,0.542331779,0.195847799,0.050844812,1.499452575,0.175932734,1.114241056,0.835361188,0.206076783,0.10496168
265,0.085112794,0.542601594,0.195900766,0.050844047,1.497779909,0.175448001,1.114369104,0.835489818,0.205918285,0.104844594
267.65,0.085065273,0.542861248,0.195953658,0.050843242,1.496156411,0.174976998,1.114487807,0.835620753,0.205764087,0.104730949
270.3,0.085017779,0.54311109,0.196006477,0.050842397,1.494580257,0.174519241,1.114597504,0.835753908,0.205614035,0.104620618
272.95,0.084970311,0.543351456,0.196059223,0.050841514,1.493049692,0.174074262,1.114698526,0.835889199,0.205467981,0.104513478
275.6,0.08492287,0.543582674,0.196111897,0.050840595,1.491563031,0.173641611,1.114791189,0.836026545,0.20532578,0.104409412
