Fraction,Vultures,Jackals,Hyenas,Lions,Carrion 1,Carrion 2,Eig 1,Eig 2,Eig 3,Eig 4,Eig 5,Eig 6
0.897795591182365,1.00845809083241,0.5152988756979,0.229877258782912,0.046851871577712,0.00177027006244296,0.97701276964342,-105.875394774697,-0.728449078090798,-0.0127259950113568,-0.00146359698864974,-0.000614440725646937,-0.000206621898678392
0.899799599198397,0.988403796873752,0.515710263098156,0.229974242801016,0.0468892817869444,0.00177027006244296,0.981553321656791,-103.806215833325,-0.725446752944301,-0.0127387258368894,-0.00146496860898923,-0.000614522367380747,-0.000206549760625676
0.901803607214429,0.968349447345319,0.516121207545614,0.230070860975383,0.0469267618166565,0.00177027006244296,0.986112434862297,-101.737038183349,-0.722455530321426,-0.0127514251776213,-0.0014663434326058,-0.000614603440914392,-0.000206474673598281
0.903807615230461,0.948295042236464,0.516531707341567,0.230167114806962,0.0469643116413773,0.00177027006244296,0.990690196319865,-99.6678618267641,-0.719475372316234,-0.0127640928989706,-0.00146772146190165,-0.000614683950808362,-0.000206396453926094
0.905811623246493,0.928240581536898,0.516941760793988,0.230263005789157,0.0470019312345141,0.00177027006244296,0.995286693557826,-97.5986867656647,-0.716506241123336,-0.0127767288678148,-0.0014691026992401,-0.000614763901594366,-0.000206314902363356
0.907815631262525,0.908186065236681,0.517351366217512,0.230358535407865,0.0470396205683433,0.00177027006244296,0.999902014575284,-95.5295130022508,-0.713548099026141,-0.0127893329525838,-0.00147048714694659,-0.000614843297777512,-0.000206229802401666
0.909819639278557,0.888131493326203,0.517760521933417,0.230453705141508,0.0470773796140008,0.00177027006244296,1.00453624784448,-93.4603405388452,-0.710600908383774,-0.0128019050233662,-0.00147187480730991,-0.00061492214383869,-0.00020614091835921
0.911823647294589,0.868076865796178,0.518169226269603,0.230548516461076,0.0471152083414725,0.00177027006244296,1.00918948231319,-91.3911693779066,-0.707664631616432,-0.0128144449520295,-0.00147326568258374,-0.000615000444237229,-0.000206047993210034
0.913827655310621,0.848022182637634,0.518577477560571,0.230642970830157,0.0471531067195851,0.00177027006244296,1.01386180740707,-89.3219995220483,-0.704739231188915,-0.0128269526123566,-0.0014746597749885,-0.000615078203413831,-0.000205950746112199
0.915831663326653,0.827967443841899,0.518985274147409,0.23073706970498,0.047191074715996,0.00177027006244296,1.01855331303209,-87.252830974058,-0.701824669592058,-0.0128394278802017,-0.00147605708671354,-0.000615155425793862,-0.000205848869583344
0.917835671342685,0.807912649400593,0.519392614377764,0.230830814534449,0.0472291122971841,0.00177027006244296,1.0232640895769,-85.1836637369202,-0.698920909321667,-0.0128518706336688,-0.00147745761991979,-0.00061523211579106,-0.000205742026265538
0.919839679358717,0.787857799305619,0.519799496605831,0.230924206760179,0.0472672194284401,0.00177027006244296,1.02799422791524,-83.1144978138427,-0.696027912854516,-0.0128642807533166,-0.00147886137674295,-0.00061530827781169,-0.000205629845206243
0.92184368737475,0.767802893549152,0.520205919192327,0.23101724781653,0.0473053960738564,0.00177027006244296,1.03274381940835,-81.0453332082864,-0.693145642620941,-0.0128766581223946,-0.00148026835929722,-0.000615383916259284,-0.000205511917569895
0.923847695390782,0.747747932123627,0.520611880504476,0.231109939130648,0.047343642196318,0.00177027006244296,1.03751295590738,-78.9761699240008,-0.690274060973296,-0.0128890026271162,-0.0014816785696798,-0.000615459035540042,-0.000205387791675065
